cases_id,country_id,year_id,source_group,disease_id,cases
1,1.0,2023,COUNTRIES,1,0.0
2,1.0,2023,COUNTRIES,2,0.0
3,1.0,2023,COUNTRIES,3,1.0
4,1.0,2023,COUNTRIES,4,
5,1.0,2023,COUNTRIES,5,0.0
6,1.0,2023,COUNTRIES,6,0.0
7,1.0,2023,COUNTRIES,7,1.0
8,1.0,2023,COUNTRIES,8,0.0
9,1.0,2023,COUNTRIES,9,
10,1.0,2023,COUNTRIES,10,0.0
11,1.0,2023,COUNTRIES,11,0.0
12,1.0,2023,COUNTRIES,12,0.0
13,1.0,2022,COUNTRIES,1,0.0
14,1.0,2022,COUNTRIES,2,0.0
15,1.0,2022,COUNTRIES,3,2.0
16,1.0,2022,COUNTRIES,4,0.0
17,1.0,2022,COUNTRIES,5,2.0
18,1.0,2022,COUNTRIES,6,0.0
19,1.0,2022,COUNTRIES,7,0.0
20,1.0,2022,COUNTRIES,8,0.0
21,1.0,2022,COUNTRIES,9,0.0
22,1.0,2022,COUNTRIES,10,0.0
23,1.0,2022,COUNTRIES,11,0.0
24,1.0,2022,COUNTRIES,12,0.0
25,1.0,2021,COUNTRIES,1,0.0
26,1.0,2021,COUNTRIES,2,0.0
27,1.0,2021,COUNTRIES,3,0.0
28,1.0,2021,COUNTRIES,4,0.0
29,1.0,2021,COUNTRIES,5,0.0
30,1.0,2021,COUNTRIES,6,0.0
31,1.0,2021,COUNTRIES,7,0.0
32,1.0,2021,COUNTRIES,8,0.0
33,1.0,2021,COUNTRIES,9,0.0
34,1.0,2021,COUNTRIES,10,0.0
35,1.0,2021,COUNTRIES,11,0.0
36,1.0,2021,COUNTRIES,12,0.0
37,1.0,2019,COUNTRIES,1,0.0
38,1.0,2019,COUNTRIES,2,0.0
39,1.0,2019,COUNTRIES,13,
40,1.0,2019,COUNTRIES,4,1.0
41,1.0,2019,COUNTRIES,5,1.0
42,1.0,2019,COUNTRIES,6,0.0
43,1.0,2019,COUNTRIES,7,0.0
44,1.0,2019,COUNTRIES,8,0.0
45,1.0,2019,COUNTRIES,9,0.0
46,1.0,2019,COUNTRIES,11,0.0
47,1.0,2019,COUNTRIES,12,0.0
48,1.0,2018,COUNTRIES,1,0.0
49,1.0,2018,COUNTRIES,2,0.0
50,1.0,2018,COUNTRIES,13,
51,1.0,2018,COUNTRIES,4,0.0
52,1.0,2018,COUNTRIES,5,5.0
53,1.0,2018,COUNTRIES,6,0.0
54,1.0,2018,COUNTRIES,7,1.0
55,1.0,2018,COUNTRIES,8,0.0
56,1.0,2018,COUNTRIES,9,0.0
57,1.0,2018,COUNTRIES,10,0.0
58,1.0,2018,COUNTRIES,11,0.0
59,1.0,2018,COUNTRIES,12,0.0
60,1.0,2017,COUNTRIES,1,0.0
61,1.0,2017,COUNTRIES,2,0.0
62,1.0,2017,COUNTRIES,4,0.0
63,1.0,2017,COUNTRIES,5,1.0
64,1.0,2017,COUNTRIES,6,0.0
65,1.0,2017,COUNTRIES,7,1.0
66,1.0,2017,COUNTRIES,9,0.0
67,1.0,2017,COUNTRIES,12,0.0
68,2.0,2023,COUNTRIES,1,594.0
69,2.0,2023,COUNTRIES,2,61.0
70,2.0,2023,COUNTRIES,3,
71,2.0,2023,COUNTRIES,13,
72,2.0,2023,COUNTRIES,4,2792.0
73,2.0,2023,COUNTRIES,5,
74,2.0,2023,COUNTRIES,6,31.0
75,2.0,2023,COUNTRIES,7,1531.0
76,2.0,2023,COUNTRIES,8,6.0
77,2.0,2023,COUNTRIES,9,444.0
78,2.0,2023,COUNTRIES,10,87.0
79,2.0,2023,COUNTRIES,11,
80,2.0,2023,COUNTRIES,12,
81,2.0,2022,COUNTRIES,1,803.0
82,2.0,2022,COUNTRIES,2,50.0
83,2.0,2022,COUNTRIES,3,
84,2.0,2022,COUNTRIES,13,
85,2.0,2022,COUNTRIES,4,5166.0
86,2.0,2022,COUNTRIES,5,
87,2.0,2022,COUNTRIES,6,20.0
88,2.0,2022,COUNTRIES,7,331.0
89,2.0,2022,COUNTRIES,8,
90,2.0,2022,COUNTRIES,9,195.0
91,2.0,2022,COUNTRIES,10,48.0
92,2.0,2022,COUNTRIES,11,0.0
93,2.0,2022,COUNTRIES,12,
94,2.0,2021,COUNTRIES,1,54.0
95,2.0,2021,COUNTRIES,2,61.0
96,2.0,2021,COUNTRIES,3,
97,2.0,2021,COUNTRIES,13,
98,2.0,2021,COUNTRIES,4,2900.0
99,2.0,2021,COUNTRIES,5,
100,2.0,2021,COUNTRIES,6,3030.0
101,2.0,2021,COUNTRIES,7,108.0
102,2.0,2021,COUNTRIES,8,43.0
103,2.0,2021,COUNTRIES,9,46.0
104,2.0,2021,COUNTRIES,10,3070.0
105,2.0,2021,COUNTRIES,11,
106,2.0,2021,COUNTRIES,12,
107,2.0,2020,COUNTRIES,1,649.0
108,2.0,2020,COUNTRIES,2,
109,2.0,2020,COUNTRIES,3,161.0
110,2.0,2020,COUNTRIES,13,
111,2.0,2020,COUNTRIES,4,640.0
112,2.0,2020,COUNTRIES,5,
113,2.0,2020,COUNTRIES,6,70.0
114,2.0,2020,COUNTRIES,7,
115,2.0,2020,COUNTRIES,8,308.0
116,2.0,2020,COUNTRIES,9,23.0
117,2.0,2020,COUNTRIES,10,70.0
118,2.0,2020,COUNTRIES,11,
119,2.0,2020,COUNTRIES,12,
120,2.0,2019,COUNTRIES,1,
121,2.0,2019,COUNTRIES,2,
122,2.0,2019,COUNTRIES,13,
123,2.0,2019,COUNTRIES,4,353.0
124,2.0,2019,COUNTRIES,5,
125,2.0,2019,COUNTRIES,6,20.0
126,2.0,2019,COUNTRIES,7,
127,2.0,2019,COUNTRIES,8,0.0
128,2.0,2019,COUNTRIES,9,59.0
129,2.0,2019,COUNTRIES,10,
130,2.0,2019,COUNTRIES,11,
131,2.0,2019,COUNTRIES,12,
132,2.0,2018,COUNTRIES,1,
133,2.0,2018,COUNTRIES,2,3.0
134,2.0,2018,COUNTRIES,13,
