incidence_id,country_id,year_id,source_group,disease_id,denominator,incidence_rate
1,1.0,2023,COUNTRIES,1,"per 10,000 live births",0.0
2,1.0,2023,COUNTRIES,2,"per 1,000,000 total population",0.0
3,1.0,2023,COUNTRIES,3,"per 1,000,000 total population",9.3
4,1.0,2023,COUNTRIES,4,"per 1,000,000 total population",
5,1.0,2023,COUNTRIES,5,"per 1,000,000 total population",0.0
6,1.0,2023,COUNTRIES,6,"per 1,000 live births",0.0
7,1.0,2023,COUNTRIES,7,"per 1,000,000 total population",9.3
8,1.0,2023,COUNTRIES,8,"per 1,000,000 <15 population",0.0
9,1.0,2023,COUNTRIES,9,"per 1,000,000 total population",
10,1.0,2023,COUNTRIES,10,"per 1,000,000 total population",0.0
11,1.0,2023,COUNTRIES,11,"per 1,000,000 total population",0.0
12,1.0,2023,COUNTRIES,12,"per 1,000,000 total population",0.0
13,1.0,2022,COUNTRIES,1,"per 10,000 live births",0.0
14,1.0,2022,COUNTRIES,2,"per 1,000,000 total population",0.0
15,1.0,2022,COUNTRIES,3,"per 1,000,000 total population",18.6
16,1.0,2022,COUNTRIES,4,"per 1,000,000 total population",0.0
17,1.0,2022,COUNTRIES,5,"per 1,000,000 total population",18.6
18,1.0,2022,COUNTRIES,6,"per 1,000 live births",0.0
19,1.0,2022,COUNTRIES,7,"per 1,000,000 total population",0.0
20,1.0,2022,COUNTRIES,8,"per 1,000,000 <15 population",0.0
21,1.0,2022,COUNTRIES,9,"per 1,000,000 total population",0.0
22,1.0,2022,COUNTRIES,10,"per 1,000,000 total population",0.0
23,1.0,2022,COUNTRIES,11,"per 1,000,000 total population",0.0
24,1.0,2022,COUNTRIES,12,"per 1,000,000 total population",0.0
25,1.0,2021,COUNTRIES,1,"per 10,000 live births",0.0
26,1.0,2021,COUNTRIES,2,"per 1,000,000 total population",0.0
27,1.0,2021,COUNTRIES,3,"per 1,000,000 total population",0.0
28,1.0,2021,COUNTRIES,4,"per 1,000,000 total population",0.0
29,1.0,2021,COUNTRIES,5,"per 1,000,000 total population",0.0
30,1.0,2021,COUNTRIES,6,"per 1,000 live births",0.0
31,1.0,2021,COUNTRIES,7,"per 1,000,000 total population",0.0
32,1.0,2021,COUNTRIES,8,"per 1,000,000 <15 population",0.0
33,1.0,2021,COUNTRIES,9,"per 1,000,000 total population",0.0
34,1.0,2021,COUNTRIES,10,"per 1,000,000 total population",0.0
35,1.0,2021,COUNTRIES,11,"per 1,000,000 total population",0.0
36,1.0,2021,COUNTRIES,12,"per 1,000,000 total population",0.0
37,1.0,2019,COUNTRIES,1,"per 10,000 live births",0.0
38,1.0,2019,COUNTRIES,2,"per 1,000,000 total population",0.0
39,1.0,2019,COUNTRIES,13,"per 1,000,000 total population",
40,1.0,2019,COUNTRIES,4,"per 1,000,000 total population",9.3
41,1.0,2019,COUNTRIES,5,"per 1,000,000 total population",9.3
42,1.0,2019,COUNTRIES,6,"per 1,000 live births",0.0
43,1.0,2019,COUNTRIES,7,"per 1,000,000 total population",0.0
44,1.0,2019,COUNTRIES,8,"per 1,000,000 <15 population",0.0
45,1.0,2019,COUNTRIES,9,"per 1,000,000 total population",0.0
