introduction_id,country_id,year_id,description,intro_status
1,2,2023,aP (acellular pertussis) vaccine,No
2,2,2023,Hepatitis A vaccine,No
3,2,2023,Hepatitis B vaccine,Yes
4,2,2023,HepB birth dose,Yes
5,2,2023,Hib (Haemophilus influenzae type B) vaccine,Yes
6,2,2023,HPV (Human Papilloma Virus) vaccine,No
7,2,2023,IPV (Inactivated polio vaccine),Yes
8,2,2023,IPV (Inactivated polio vaccine) 2nd dose,Yes
9,2,2023,Japanese Encephalitis,No
10,2,2023,Malaria vaccine,No
11,2,2023,Measles-containing vaccine 2nd dose,Yes
12,2,2023,Meningococcal meningitis vaccines (all strains),No
13,2,2023,Mumps vaccine,No
14,2,2023,PCV (Pneumococcal conjugate vaccine),Yes
15,2,2023,PPV (Pneumococcal polysaccharide vaccine),No
16,2,2023,Rotavirus vaccine,Yes
17,2,2023,Rubella vaccine,No
18,2,2023,Seasonal Influenza vaccine,No
19,2,2023,Typhoid,No
20,2,2023,Varicella vaccine,No
21,2,2023,YF (Yellow fever) vaccine,No
22,2,2022,aP (acellular pertussis) vaccine,No
23,2,2022,Hepatitis A vaccine,No
24,2,2022,Hepatitis B vaccine,Yes
25,2,2022,HepB birth dose,Yes
26,2,2022,Hib (Haemophilus influenzae type B) vaccine,Yes
27,2,2022,HPV (Human Papilloma Virus) vaccine,No
28,2,2022,IPV (Inactivated polio vaccine),Yes
29,2,2022,IPV (Inactivated polio vaccine) 2nd dose,Yes
30,2,2022,Japanese Encephalitis,No
31,2,2022,Malaria vaccine,No
32,2,2022,Measles-containing vaccine 2nd dose,Yes
33,2,2022,Meningococcal meningitis vaccines (all strains),No
34,2,2022,Mumps vaccine,No
35,2,2022,PCV (Pneumococcal conjugate vaccine),Yes
36,2,2022,PPV (Pneumococcal polysaccharide vaccine),No
37,2,2022,Rotavirus vaccine,Yes
38,2,2022,Rubella vaccine,No
39,2,2022,Seasonal Influenza vaccine,No
40,2,2022,Typhoid,No
41,2,2022,Varicella vaccine,No
42,2,2022,YF (Yellow fever) vaccine,No
43,2,2021,aP (acellular pertussis) vaccine,No
44,2,2021,Hepatitis A vaccine,No
45,2,2021,Hepatitis B vaccine,Yes
46,2,2021,HepB birth dose,Yes
47,2,2021,Hib (Haemophilus influenzae type B) vaccine,Yes
48,2,2021,HPV (Human Papilloma Virus) vaccine,No
49,2,2021,IPV (Inactivated polio vaccine),Yes
50,2,2021,IPV (Inactivated polio vaccine) 2nd dose,Yes
51,2,2021,Japanese Encephalitis,No
52,2,2021,Malaria vaccine,No
53,2,2021,Measles-containing vaccine 2nd dose,Yes
54,2,2021,Meningococcal meningitis vaccines (all strains),No
55,2,2021,Mumps vaccine,No
56,2,2021,PCV (Pneumococcal conjugate vaccine),Yes
57,2,2021,PPV (Pneumococcal polysaccharide vaccine),No
58,2,2021,Rotavirus vaccine,Yes
59,2,2021,Rubella vaccine,No
60,2,2021,Seasonal Influenza vaccine,No
61,2,2021,Typhoid,No
62,2,2021,Varicella vaccine,No
63,2,2021,YF (Yellow fever) vaccine,No
64,2,2020,aP (acellular pertussis) vaccine,No
65,2,2020,Hepatitis A vaccine,No
66,2,2020,Hepatitis B vaccine,Yes
67,2,2020,HepB birth dose,Yes
68,2,2020,Hib (Haemophilus influenzae type B) vaccine,Yes
69,2,2020,HPV (Human Papilloma Virus) vaccine,No
70,2,2020,IPV (Inactivated polio vaccine),Yes
71,2,2020,IPV (Inactivated polio vaccine) 2nd dose,Yes
72,2,2020,Japanese Encephalitis,No
73,2,2020,Malaria vaccine,No
74,2,2020,Measles-containing vaccine 2nd dose,Yes
75,2,2020,Meningococcal meningitis vaccines (all strains),No
76,2,2020,Mumps vaccine,No
77,2,2020,PCV (Pneumococcal conjugate vaccine),Yes
78,2,2020,PPV (Pneumococcal polysaccharide vaccine),No
79,2,2020,Rotavirus vaccine,Yes
80,2,2020,Rubella vaccine,No
81,2,2020,Seasonal Influenza vaccine,No
82,2,2020,Typhoid,No
83,2,2020,Varicella vaccine,No
84,2,2020,YF (Yellow fever) vaccine,No
85,2,2019,aP (acellular pertussis) vaccine,No
86,2,2019,Hepatitis A vaccine,No
87,2,2019,Hepatitis B vaccine,Yes
88,2,2019,HepB birth dose,Yes
89,2,2019,Hib (Haemophilus influenzae type B) vaccine,Yes
90,2,2019,HPV (Human Papilloma Virus) vaccine,No
91,2,2019,IPV (Inactivated polio vaccine),Yes
92,2,2019,IPV (Inactivated polio vaccine) 2nd dose,No
93,2,2019,Japanese Encephalitis,No
94,2,2019,Malaria vaccine,No
95,2,2019,Measles-containing vaccine 2nd dose,Yes
96,2,2019,Meningococcal meningitis vaccines (all strains),No
97,2,2019,Mumps vaccine,No
98,2,2019,PCV (Pneumococcal conjugate vaccine),Yes
99,2,2019,PPV (Pneumococcal polysaccharide vaccine),No
100,2,2019,Rotavirus vaccine,Yes
101,2,2019,Rubella vaccine,No
102,2,2019,Seasonal Influenza vaccine,No
103,2,2019,Typhoid,No
104,2,2019,Varicella vaccine,No
105,2,2019,YF (Yellow fever) vaccine,No
106,2,2018,aP (acellular pertussis) vaccine,No
107,2,2018,Hepatitis A vaccine,No
108,2,2018,Hepatitis B vaccine,Yes
109,2,2018,HepB birth dose,Yes
110,2,2018,Hib (Haemophilus influenzae type B) vaccine,Yes
111,2,2018,HPV (Human Papilloma Virus) vaccine,No
112,2,2018,IPV (Inactivated polio vaccine),Yes
113,2,2018,IPV (Inactivated polio vaccine) 2nd dose,No
114,2,2018,Japanese Encephalitis,No
115,2,2018,Measles-containing vaccine 2nd dose,Yes
116,2,2018,Meningococcal meningitis vaccines (all strains),No
117,2,2018,Mumps vaccine,No
118,2,2018,PCV (Pneumococcal conjugate vaccine),Yes
119,2,2018,PPV (Pneumococcal polysaccharide vaccine),No
120,2,2018,Rotavirus vaccine,Yes
121,2,2018,Rubella vaccine,No
122,2,2018,Seasonal Influenza vaccine,No
123,2,2018,Typhoid,No
124,2,2018,Varicella vaccine,No
125,2,2018,YF (Yellow fever) vaccine,No
126,2,2017,aP (acellular pertussis) vaccine,No
