schedule_id,country_id,year_id,vaccine_id,schedule_rounds,target_pop,target_pop_description,geoarea,age_administered,source_comment
1,1,2023,1,1.0,,General/routine,NATIONAL,M2,
2,1,2023,1,2.0,,General/routine,NATIONAL,M4,
3,1,2023,1,3.0,,General/routine,NATIONAL,M6,
4,1,2023,1,4.0,B_2YL_W,General/routine,NATIONAL,M15,
5,1,2023,2,5.0,B_CHILD_W,General/routine,NATIONAL,Y4,
6,1,2023,2,6.0,,General/routine,NATIONAL,Y10,
7,1,2023,2,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"police, firemen, law-enforcement workers"
8,1,2023,2,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,"police, firemen, law-enforcement workers"
9,1,2023,2,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M5,"police, firemen, law-enforcement workers"
10,1,2023,3,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers
11,1,2023,3,2.0,TRAVELLERS,Travellers,NATIONAL,+M6,travellers
12,1,2023,4,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers
13,1,2023,4,2.0,TRAVELLERS,Travellers,NATIONAL,+M6,travellers
14,1,2023,5,1.0,HW,Health workers,NATIONAL,1st contact,healthcare workers
15,1,2023,5,3.0,HW,Health workers,NATIONAL,+M5,healthcare workers
16,1,2023,5,2.0,HW,Health workers,NATIONAL,+M1,healthcare workers
17,1,2023,5,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M5,"police, firemen, law-enforcement workers"
18,1,2023,5,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,"police, firemen, law-enforcement workers"
19,1,2023,5,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"police, firemen, law-enforcement workers"
20,1,2023,6,1.0,,General/routine,NATIONAL,M1,
21,1,2023,6,2.0,,General/routine,NATIONAL,M3,
22,1,2023,6,3.0,,General/routine,NATIONAL,M9,
23,1,2023,7,1.0,FEMALE,HPV for females only,NATIONAL,Y11,females only; grade 6 primary schools
24,1,2023,7,2.0,FEMALE,HPV for females only,NATIONAL,+M6,females only; grade 6 primary schools
25,1,2023,8,1.0,ADULTS,Adults,NATIONAL,,Older persons
26,1,2023,8,1.0,HW,Health workers,NATIONAL,1st contact,Health and care workers
27,1,2023,8,1.0,PW,Pregnant women,NATIONAL,1st contact,Pregnant women
28,1,2023,8,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"Adults with chronic conditions, residents living in long-term care facilities"
29,1,2023,9,1.0,RISKGROUPS,Risk group(s),NATIONAL,,Children living with long-term care facilities
30,1,2023,10,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,students travelling abroad
31,1,2023,11,1.0,,General/routine,NATIONAL,M12,
32,1,2023,11,2.0,,General/routine,NATIONAL,Y4,
33,1,2023,12,1.0,,General/routine,NATIONAL,M2,
34,1,2023,12,2.0,,General/routine,NATIONAL,M4,
35,1,2023,12,3.0,,General/routine,NATIONAL,M12,
36,1,2023,13,1.0,RISKGROUPS,Risk group(s),NATIONAL,>=Y1,upon request
37,1,2023,14,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers to specific countries
38,2,2023,15,1.0,,General/routine,NATIONAL,B,0-11 months
39,2,2023,16,1.0,,General/routine,NATIONAL,W6,0-11 months
40,2,2023,16,2.0,,General/routine,NATIONAL,W10,0-11 months
41,2,2023,16,3.0,,General/routine,NATIONAL,W14,0-11 months
42,2,2023,6,1.0,,General/routine,NATIONAL,B,New borns
